-239, -219, -201, -182, -164, -149, -135, -120, -105, -90, -75, -60, -45, -30, -15
22, 21, 21, 17, 11, 10, 10, 8, 7, 6, 5, 4, 3, 2, 1
612, 560, 518, 478, 440, 400, 360, 321, 280, 240, 200, 160, 120, 80, 40
-416, -392, -379, -356, -330, -300, -270, -240, -209, -180, -150, -120, -90, -60, -30
183, 194, 201, 190, 176, 150, 125, 102, 82, 67, 55, 44, 33, 22, 11
-326, -328, -324, -311, -297, -275, -234, -197, -162, -132, -109, -88, -66, -44, -22
17, 17, 17, 17, 17, 17, 16, 16, 12, 6, 5, 5, 3, 2, 1
412, 412, 412, 412, 412, 412, 360, 318, 278, 240, 200, 160, 121, 80, 40
-266, -266, -266, -266, -266, -266, -242, -229, -206, -180, -150, -120, -90, -59, -30
128, 128, 128, 128, 128, 128, 139, 146, 135, 121, 95, 70, 47, 27, 12
-217, -217, -217, -217, -217, -217, -219, -215, -202, -188, -166, -125, -88, -53, -23
12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 11, 11, 7, 1
212, 212, 212, 212, 212, 212, 212, 212, 212, 212, 212, 160, 118, 78, 40
-116, -116, -116, -116, -116, -116, -116, -116, -116, -116, -116, -92, -79, -56, -30
33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 44, 51, 40, 26
